dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000200,0.020000,1.000000,50.000000,6.283184
0.020000,0.000621,0.000000,0.001000,0.060000,2.000000,50.000000,0.000005
0.020000,0.002221,0.000000,0.002600,0.100000,2.000000,0.000000,0.000018
0.020000,0.004621,0.000000,0.005000,0.140000,2.000000,0.000000,0.000037
0.020000,0.007821,0.000000,0.008200,0.180000,2.000000,-0.000000,0.000063
0.020000,0.011821,0.000001,0.012200,0.220000,2.000000,0.000000,0.000095
0.020000,0.016621,0.000001,0.017000,0.260000,2.000000,0.000000,0.000134
0.020000,0.022221,0.000002,0.022600,0.300000,2.000000,-0.000000,0.000179
0.020000,0.028621,0.000003,0.029000,0.340000,2.000000,0.000000,0.000231
0.020000,0.035821,0.000005,0.036200,0.380000,2.000000,-0.000000,0.000289
0.020000,0.043821,0.000008,0.044200,0.420000,2.000000,0.000000,0.000353
0.020000,0.052621,0.000011,0.053000,0.460000,2.000000,0.000000,0.000424
0.020000,0.062221,0.000016,0.062600,0.500000,2.000000,-0.000000,0.000501
0.020000,0.072621,0.000021,0.073000,0.540000,2.000000,0.000000,0.000585
0.020000,0.083821,0.000028,0.084200,0.580000,2.000000,-0.000000,0.000675
0.020000,0.095821,0.000037,0.096200,0.620000,2.000000,0.000000,0.000771
0.020000,0.108621,0.000048,0.109000,0.660000,2.000000,0.000000,0.000874
0.020000,0.122221,0.000060,0.122600,0.700000,2.000000,-0.000000,0.000982
0.020000,0.136621,0.000075,0.137000,0.740000,2.000000,0.000000,0.001098
0.020000,0.151821,0.000093,0.152200,0.780000,2.000000,0.000000,0.001219
0.020000,0.167821,0.000113,0.168200,0.820000,2.000000,-0.000000,0.001347
0.020000,0.184621,0.000137,0.185000,0.860000,2.000000,0.000000,0.001481
0.020000,0.202221,0.000164,0.202600,0.900000,2.000000,0.000000,0.001621
0.020000,0.220621,0.000195,0.221000,0.940000,2.000000,-0.000000,0.001767
0.020000,0.239821,0.000231,0.240200,0.980000,2.000000,0.000000,0.001920
0.020000,0.259821,0.000271,0.260200,1.020000,2.000000,0.000000,0.002078
0.020000,0.280621,0.000316,0.281000,1.060000,2.000000,0.000000,0.002243
0.020000,0.302221,0.000366,0.302600,1.100000,2.000000,0.000000,0.002414
0.020000,0.324621,0.000422,0.325000,1.140000,2.000000,-0.000000,0.002591
0.020000,0.347821,0.000484,0.348200,1.180000,2.000000,0.000000,0.002774
0.020000,0.371821,0.000553,0.372200,1.220000,2.000000,0.000000,0.002962
0.020000,0.396621,0.000629,0.397000,1.260000,2.000000,0.000000,0.003157
0.020000,0.422221,0.000712,0.422600,1.300000,2.000000,0.000000,0.003358
0.020000,0.448620,0.000804,0.449000,1.340000,2.000000,0.000000,0.003564
0.020000,0.475820,0.000904,0.476200,1.380000,2.000000,-0.000000,0.003777
0.020000,0.503820,0.001012,0.504200,1.420000,2.000000,0.000000,0.003995
0.020000,0.532620,0.001131,0.533000,1.460000,2.000000,0.000000,0.004219
0.020000,0.562220,0.001259,0.562600,1.500000,2.000000,0.000000,0.004449
0.020000,0.592619,0.001398,0.593000,1.540000,2.000000,0.000000,0.004684
0.020000,0.623819,0.001548,0.624200,1.580000,2.000000,0.000000,0.004925
0.020000,0.655818,0.001709,0.656200,1.620000,2.000000,0.000000,0.005172
0.020000,0.688618,0.001883,0.689000,1.660000,2.000000,-0.000000,0.005424
0.020000,0.722217,0.002070,0.722600,1.700000,2.000000,0.000000,0.005682
0.020000,0.756617,0.002270,0.757000,1.740000,2.000000,0.000000,0.005945
0.020000,0.791816,0.002484,0.792200,1.780000,2.000000,0.000000,0.006214
0.020000,0.827816,0.002712,0.828200,1.820000,2.000000,0.000000,0.006488
0.020000,0.864615,0.002956,0.865000,1.860000,2.000000,0.000000,0.006767
0.020000,0.902214,0.003216,0.902600,1.900000,2.000000,-0.000000,0.007051
0.020000,0.940613,0.003492,0.941000,1.940000,2.000000,0.000000,0.007341
0.020000,0.979812,0.003786,0.980200,1.980000,2.000000,0.000000,0.007636
0.020000,1.019611,0.004096,1.020000,2.000000,1.000000,-50.000000,0.007935
0.020000,1.059609,0.004419,1.060000,2.000000,0.000000,-50.000000,0.008234
0.020000,1.099608,0.004754,1.100000,2.000000,0.000000,0.000000,0.008532
0.020000,1.139606,0.005102,1.140000,2.000000,0.000000,0.000000,0.008830
0.020000,1.179605,0.005461,1.180000,2.000000,0.000000,0.000000,0.009126
0.020000,1.219603,0.005832,1.220000,2.000000,0.000000,0.000000,0.009421
0.020000,1.259601,0.006214,1.260000,2.000000,0.000000,0.000000,0.009716
0.020000,1.299599,0.006609,1.300000,2.000000,0.000000,0.000000,0.010010
0.020000,1.339597,0.007015,1.340000,2.000000,0.000000,0.000000,0.010303
